Customer;State;Customer Lifetime Value;Response;Coverage;Education;Effective To Date;EmploymentStatus;Gender;Income;Location Code;Marital Status;Monthly Premium Auto;Months Since Last Claim;Months Since Policy Inception;Number of Open Complaints;Number of Policies;Policy Type;Policy;Renew Offer Type;Sales Channel;Total Claim Amount;Vehicle Class;Vehicle Size;timestamp;usuario;bot
SW31412;Oregon;1480805624;No;Basic;College;2/22/11;Employed;F;41440;Suburban;Married;62;20;80;1;2;Personal Auto;Personal L3;Offer3;Agent;297,6;Four-Door Car;Small;;;
JS36322;Arizona;8901678357;No;Extended;High School or Below;1/19/11;Unemployed;M;0;Suburban;Single;136;14;69;1;8;Personal Auto;Personal L3;Offer1;Agent;109086434;Sports Car;Small;;;
RE81445;Oregon;5734598243;No;Basic;College;2011-05-01 00:00:00;Employed;F;98132;Rural;Married;71;10;61;0;3;Personal Auto;Personal L2;Offer3;Branch;50587035;Two-Door Car;Medsize;;;
RM24280;Oregon;4177696973;No;Premium;High School or Below;2011-03-02 00:00:00;Unemployed;F;0;Suburban;Married;112;4;49;0;1;Personal Auto;Personal L2;Offer3;Agent;537,6;Four-Door Car;Medsize;;;
LC25393;California;2777628906;No;Extended;Bachelor;1/18/11;Employed;M;88220;Rural;Married;230;28;63;0;2;Personal Auto;Personal L3;Offer1;Call Center;151528482;Luxury Car;Small;;;
UX38930;Arizona;1036434749;No;Extended;Master;2011-09-01 00:00:00;Employed;F;58327;Urban;Married;129;31;5;0;3;Personal Auto;Personal L3;Offer2;Branch;347075948;SUV;Medsize;;;
HD95496;Oregon;7851901368;No;Basic;Master;2011-03-02 00:00:00;Employed;M;25950;Urban;Married;66;27;1;0;2;Personal Auto;Personal L1;Offer4;Agent;271697529;Two-Door Car;Medsize;;;
RX24650;Oregon;4772943848;Yes;Extended;High School or Below;2/18/11;Retired;M;20993;Suburban;Divorced;133;35;90;0;1;Corporate Auto;Corporate L3;Offer2;Agent;638,4;SUV;Medsize;;;
DW19309;Oregon;1422650485;No;Premium;High School or Below;2011-08-01 00:00:00;Employed;M;65726;Suburban;Married;177;35;90;0;7;Corporate Auto;Corporate L1;Offer1;Agent;849,6;SUV;Medsize;;;
EG48956;Washington;4031104947;No;Basic;College;2011-07-02 00:00:00;Unemployed;M;0;Suburban;Married;63;35;59;3;3;Personal Auto;Personal L2;Offer2;Call Center;63945899;Two-Door Car;Large;;;
UF88986;Washington;2794907476;No;Basic;College;1/22/11;Employed;F;39783;Suburban;Single;72;28;43;0;1;Personal Auto;Personal L1;Offer1;Branch;345,6;Two-Door Car;Medsize;;;
DB42794;California;4362931238;Yes;Premium;College;2011-03-01 00:00:00;Employed;M;58842;Suburban;Married;110;6;74;0;1;Personal Auto;Personal L1;Offer2;Branch;528;Four-Door Car;Medsize;;;
JB50798;Oregon;9624524417;No;Extended;Master;1/20/11;Employed;F;25629;Suburban;Single;124;3;70;2;6;Corporate Auto;Corporate L3;Offer2;Agent;595,2;Sports Car;Medsize;;;
JY45873;Washington;5015009472;Yes;Extended;Bachelor;2011-03-02 00:00:00;Employed;F;48567;Suburban;Single;130;12;15;0;1;Corporate Auto;Corporate L2;Offer2;Agent;624;SUV;Medsize;;;
TE35785;California;6948422239;No;Basic;Doctor;2011-07-02 00:00:00;Unemployed;M;0;Suburban;Married;196;0;73;2;1;Personal Auto;Personal L3;Offer1;Branch;1337063487;Luxury SUV;Large;;;
CM55703;Washington;2896918767;No;Basic;College;2011-09-02 00:00:00;Employed;F;33746;Suburban;Divorced;74;1;6;1;1;Personal Auto;Personal L3;Offer1;Agent;355,2;Two-Door Car;Medsize;;;
QN65180;Oregon;2190391364;No;Extended;Bachelor;2/26/11;Employed;F;22254;Rural;Married;79;22;75;0;2;Personal Auto;Personal L1;Offer3;Call Center;125194389;Four-Door Car;Large;;;
GE47180;Nevada;9028821403;No;Basic;High School or Below;2/14/11;Employed;M;65974;Rural;Married;113;3;43;0;3;Personal Auto;Personal L3;Offer3;Agent;235220971;Sports Car;Medsize;;;
VQ38776;Oregon;5303759534;No;Extended;College;2011-02-01 00:00:00;Unemployed;F;0;Suburban;Single;76;18;63;0;3;Personal Auto;Personal L3;Offer2;Agent;39534111;Four-Door Car;Large;;;
ZY90118;Washington;4165354461;No;Premium;College;2011-03-01 00:00:00;Medical Leave;M;17161;Suburban;Married;113;1;22;1;1;Corporate Auto;Corporate L1;Offer1;Call Center;542,4;Four-Door Car;Small;;;
IN17648;Nevada;5123768112;No;Basic;High School or Below;2/27/11;Unemployed;M;0;Suburban;Single;74;1;62;0;7;Personal Auto;Personal L1;Offer1;Agent;772798511;Two-Door Car;Medsize;;;
DF95759;Oregon;9492342964;No;Extended;College;1/15/11;Unemployed;M;0;Suburban;Married;132;9;85;0;6;Personal Auto;Personal L3;Offer2;Agent;633,6;SUV;Medsize;;;
QG45324;Oregon;8204863191;No;Basic;High School or Below;2011-02-01 00:00:00;Unemployed;F;0;Suburban;Married;73;9;14;0;2;Personal Auto;Personal L2;Offer1;Agent;350,4;Four-Door Car;Medsize;;;
MN61620;Arizona;9877295699;No;Extended;College;1/31/11;Employed;F;67752;Rural;Single;131;4;40;4;9;Personal Auto;Personal L2;Offer1;Web;168517149;Sports Car;Small;;;
YH86390;California;4815009736;No;Basic;Bachelor;1/16/11;Disabled;F;25398;Suburban;Divorced;64;30;80;0;6;Corporate Auto;Corporate L3;Offer2;Agent;307,2;Four-Door Car;Medsize;;;
FY13480;California;6277011679;No;Extended;High School or Below;2/18/11;Unemployed;M;0;Suburban;Single;88;30;19;0;4;Personal Auto;Personal L3;Offer1;Web;633,6;Four-Door Car;Medsize;;;
YH61661;California;8260639809;No;Basic;High School or Below;2011-02-01 00:00:00;Employed;M;33321;Suburban;Married;105;6;2;0;3;Special Auto;Special L1;Offer2;Branch;504;SUV;Medsize;;;
NL93182;Nevada;2549450038;No;Extended;Bachelor;1/20/11;Unemployed;M;0;Suburban;Single;78;13;32;0;1;Corporate Auto;Corporate L3;Offer2;Web;845654042;Four-Door Car;Small;;;
UM45563;Washington;4502679656;No;Basic;Bachelor;1/27/11;Employed;M;68798;Rural;Single;114;19;69;0;1;Personal Auto;Personal L2;Offer2;Call Center;92915251;SUV;Medsize;;;
WE68644;Oregon;3803921781;No;Basic;Bachelor;1/26/11;Medical Leave;F;20325;Suburban;Married;100;4;6;0;1;Personal Auto;Personal L3;Offer1;Branch;66829397;Sports Car;Medsize;;;
EZ30498;Oregon;86354035;No;Basic;Bachelor;2/15/11;Medical Leave;M;13129;Suburban;Married;117;15;93;0;6;Personal Auto;Personal L3;Offer1;Web;700901632;SUV;Medsize;;;
QY74517;Oregon;5510558964;No;Basic;High School or Below;2011-07-01 00:00:00;Unemployed;F;0;Suburban;Single;73;24;57;0;4;Personal Auto;Personal L3;Offer1;Branch;525,6;Four-Door Car;Large;;;
NM88660;Nevada;3585884123;No;Extended;Master;2011-10-01 00:00:00;Employed;M;49080;Rural;Single;91;14;68;0;1;Corporate Auto;Corporate L2;Offer1;Agent;25299;Four-Door Car;Small;;;
MZ82036;Nevada;488925278;No;Basic;College;2/20/11;Employed;M;42536;Suburban;Divorced;63;30;57;0;6;Personal Auto;Personal L1;Offer2;Branch;375330097;Four-Door Car;Medsize;;;
ID20929;Oregon;2756941661;No;Basic;Bachelor;1/18/11;Medical Leave;M;29926;Suburban;Divorced;74;25;34;0;1;Corporate Auto;Corporate L1;Offer1;Branch;418233667;Four-Door Car;Medsize;;;
EY50028;Nevada;3289547398;No;Extended;Doctor;1/24/11;Unemployed;M;0;Urban;Married;86;5;55;0;1;Corporate Auto;Corporate L3;Offer2;Agent;398240791;Two-Door Car;Medsize;;;
TT82373;California;109371785;No;Extended;Bachelor;2011-08-01 00:00:00;Employed;F;21450;Suburban;Married;138;15;35;0;4;Personal Auto;Personal L2;Offer1;Branch;938513425;Sports Car;Medsize;;;
OH64088;California;7375567916;No;Basic;High School or Below;2011-09-02 00:00:00;Employed;M;33345;Suburban;Single;65;32;52;0;2;Corporate Auto;Corporate L1;Offer1;Agent;338619869;Four-Door Car;Medsize;;;
SK97780;California;1011077818;No;Extended;Bachelor;2/16/11;Medical Leave;F;15752;Urban;Married;90;27;37;0;2;Corporate Auto;Corporate L3;Offer1;Branch;339344531;Two-Door Car;Large;;;
IO33050;Oregon;5119414293;No;Basic;High School or Below;2011-10-01 00:00:00;Employed;F;40169;Urban;Divorced;65;1;47;1;3;Personal Auto;Personal L3;Offer1;Call Center;302818833;Four-Door Car;Medsize;;;
XA55917;California;8533832013;No;Basic;College;2/28/11;Disabled;F;26049;Suburban;Married;113;10;15;1;9;Personal Auto;Personal L1;Offer1;Web;619165344;SUV;Medsize;;;
JK32620;Nevada;2224768;No;Basic;College;1/22/11;Unemployed;M;0;Suburban;Single;68;3;4;0;1;Personal Auto;Personal L3;Offer2;Web;326,4;Four-Door Car;Medsize;;;
RQ19236;Arizona;8042803784;No;Basic;Doctor;2011-05-01 00:00:00;Employed;M;55411;Urban;Married;100;24;53;0;4;Personal Auto;Personal L2;Offer2;Web;259561195;Sports Car;Medsize;;;
QC47433;Oregon;2554437138;No;Basic;College;1/21/11;Medical Leave;M;12459;Suburban;Married;70;4;41;0;1;Personal Auto;Personal L2;Offer2;Branch;336;Four-Door Car;Small;;;
RA93608;Oregon;1807393999;No;Extended;Bachelor;1/24/11;Employed;M;64620;Suburban;Married;76;24;32;1;2;Personal Auto;Personal L2;Offer1;Agent;364,8;Two-Door Car;Small;;;
XH97711;California;2430506586;No;Basic;Bachelor;1/14/11;Employed;M;83140;Urban;Married;61;25;70;0;1;Corporate Auto;Corporate L3;Offer4;Agent;179161843;Four-Door Car;Medsize;;;
AU96286;Oregon;3167658442;No;Extended;Bachelor;1/19/11;Unemployed;F;0;Suburban;Single;92;20;50;0;1;Corporate Auto;Corporate L1;Offer4;Web;662,4;Four-Door Car;Medsize;;;
KC17170;Arizona;5465603983;No;Basic;Bachelor;1/31/11;Employed;F;54422;Rural;Married;68;9;8;0;5;Corporate Auto;Corporate L3;Offer1;Branch;75501852;Four-Door Car;Medsize;;;
ZN47335;California;1035751422;No;Extended;College;2/16/11;Employed;M;68309;Rural;Divorced;131;4;67;0;9;Corporate Auto;Corporate L3;Offer1;Web;306983596;SUV;Small;;;
EI46264;California;2537813878;No;Basic;High School or Below;2011-12-01 00:00:00;Employed;M;56621;Rural;Married;65;27;36;2;1;Personal Auto;Personal L2;Offer2;Branch;84026848;Four-Door Car;Medsize;;;
EK87864;Arizona;2821947219;No;Basic;College;2011-06-01 00:00:00;Employed;F;38977;Rural;Married;70;27;22;0;1;Special Auto;Special L2;Offer1;Agent;139489926;Four-Door Car;Medsize;;;
GV45403;Arizona;7757128146;No;Premium;Bachelor;1/23/11;Unemployed;M;0;Suburban;Divorced;111;32;13;0;3;Corporate Auto;Corporate L2;Offer1;Branch;6074459;Two-Door Car;Medsize;;;
QK31192;Arizona;4079132667;No;Premium;High School or Below;2/18/11;Unemployed;M;0;Suburban;Married;114;12;43;0;1;Corporate Auto;Corporate L2;Offer4;Branch;631124372;Two-Door Car;Medsize;;;
LU89008;Arizona;5955544552;No;Extended;College;2011-07-02 00:00:00;Unemployed;F;0;Suburban;Single;83;35;87;0;8;Personal Auto;Personal L3;Offer1;Agent;628023494;Four-Door Car;Medsize;;;
NS10490;Oregon;1415861364;No;Basic;Bachelor;2/26/11;Employed;F;83235;Suburban;Married;70;16;33;0;2;Personal Auto;Personal L3;Offer2;Agent;336;Two-Door Car;Medsize;;;
KL98495;Nevada;8487238032;No;Basic;College;2011-05-01 00:00:00;Unemployed;M;0;Suburban;Married;74;7;93;0;2;Personal Auto;Personal L2;Offer1;Agent;426655599;Two-Door Car;Medsize;;;
IU96845;Arizona;6285476868;No;Extended;College;2011-10-02 00:00:00;Employed;M;32390;Rural;Married;80;20;36;0;8;Personal Auto;Personal L3;Offer1;Call Center;91417923;Four-Door Car;Medsize;;;
QL93655;Oregon;1147348149;No;Extended;High School or Below;2011-12-01 00:00:00;Employed;F;66538;Urban;Married;95;14;64;0;2;Personal Auto;Personal L3;Offer2;Agent;317844812;Two-Door Car;Medsize;;;
QZ42725;Washington;2310882998;No;Basic;Bachelor;2011-01-01 00:00:00;Unemployed;F;0;Suburban;Single;64;12;24;0;1;Personal Auto;Personal L3;Offer2;Agent;460,8;Four-Door Car;Medsize;;;
LZ34046;Oregon;235946802;Yes;Basic;Bachelor;1/31/11;Employed;M;76358;Rural;Married;66;25;3;0;2;Personal Auto;Personal L1;Offer3;Agent;86461582;Four-Door Car;Medsize;;;
ZH19885;Washington;251459196;Yes;Basic;High School or Below;2/14/11;Employed;F;43860;Rural;Single;65;15;58;0;1;Personal Auto;Personal L3;Offer2;Agent;156124914;Four-Door Car;Medsize;;;
YE88490;Arizona;5380898636;Yes;Basic;College;2/24/11;Employed;F;55350;Suburban;Married;67;0;13;0;9;Personal Auto;Personal L2;Offer1;Agent;321,6;Four-Door Car;Medsize;;;
YC80498;California;4770550911;Yes;Basic;College;2011-01-02 00:00:00;Medical Leave;F;12964;Suburban;Single;65;2;37;0;4;Personal Auto;Personal L1;Offer1;Web;362774545;Two-Door Car;Medsize;;;
AI85843;Arizona;6756651404;No;Extended;Master;2011-06-01 00:00:00;Employed;F;33288;Urban;Married;86;1;27;2;9;Personal Auto;Personal L3;Offer1;Branch;221856184;Four-Door Car;Medsize;;;
XD66024;Arizona;5936011773;No;Extended;College;1/27/11;Unemployed;F;0;Suburban;Single;84;31;25;0;3;Personal Auto;Personal L3;Offer3;Call Center;980169081;Four-Door Car;Medsize;;;
FY51713;Arizona;3570760509;No;Extended;Bachelor;2011-07-01 00:00:00;Employed;F;56168;Suburban;Married;88;13;20;0;1;Personal Auto;Personal L1;Offer1;Branch;614675906;Four-Door Car;Small;;;
PH26378;California;6019960469;No;Extended;College;1/31/11;Unemployed;M;0;Suburban;Single;92;3;28;0;4;Personal Auto;Personal L3;Offer1;Agent;662,4;Four-Door Car;Medsize;;;
WQ18638;Oregon;5426863953;No;Basic;High School or Below;2/25/11;Employed;M;23105;Suburban;Married;69;15;21;0;3;Personal Auto;Personal L3;Offer2;Agent;331,2;Two-Door Car;Small;;;
KY14688;Oregon;2730313804;No;Basic;Master;2011-03-01 00:00:00;Employed;F;36218;Rural;Married;68;6;83;0;1;Personal Auto;Personal L1;Offer3;Branch;145252168;Four-Door Car;Large;;;
TC97762;California;4982681374;No;Basic;High School or Below;2/27/11;Employed;F;52275;Suburban;Married;62;6;88;0;5;Corporate Auto;Corporate L3;Offer3;Branch;374240783;Four-Door Car;Medsize;;;
QC87108;Oregon;8769266756;No;Basic;College;1/19/11;Employed;F;49665;Suburban;Single;74;5;51;0;2;Personal Auto;Personal L3;Offer3;Web;355,2;Four-Door Car;Large;;;
CX12134;Nevada;4220613534;No;Premium;High School or Below;1/31/11;Employed;M;32471;Suburban;Single;110;0;87;0;1;Personal Auto;Personal L2;Offer2;Agent;528;Two-Door Car;Medsize;;;
SM73248;Arizona;1153750507;No;Extended;High School or Below;1/21/11;Unemployed;M;0;Suburban;Single;86;12;89;1;2;Corporate Auto;Corporate L1;Offer1;Agent;619,2;Two-Door Car;Medsize;;;
CK19789;California;5887182043;No;Basic;Master;2/14/11;Employed;F;62773;Rural;Married;73;19;57;0;9;Personal Auto;Personal L3;Offer4;Branch;80669257;Four-Door Car;Medsize;;;
UV12583;California;4700583771;No;Basic;College;2/18/11;Employed;F;76694;Suburban;Married;117;34;23;0;1;Personal Auto;Personal L1;Offer4;Agent;561,6;SUV;Medsize;;;
JC11405;Oregon;1096395723;Yes;Premium;High School or Below;2011-08-02 00:00:00;Employed;M;55687;Suburban;Divorced;276;33;91;0;1;Personal Auto;Personal L3;Offer1;Agent;1324,8;Luxury SUV;Medsize;;;
KA89683;Arizona;2523171245;No;Basic;High School or Below;1/30/11;Unemployed;F;0;Suburban;Single;70;20;81;0;1;Personal Auto;Personal L1;Offer1;Branch;504;Four-Door Car;Small;;;
BG85305;Nevada;3757804716;No;Extended;Doctor;1/28/11;Employed;M;36633;Suburban;Single;96;20;61;1;1;Personal Auto;Personal L2;Offer2;Call Center;460,8;Four-Door Car;Medsize;;;
UQ87917;Oregon;1294173353;No;Basic;High School or Below;1/24/11;Employed;M;77060;Urban;Married;106;23;90;0;2;Personal Auto;Personal L2;Offer1;Branch;468566133;SUV;Medsize;;;
XN11823;Nevada;3764465074;No;Extended;Bachelor;2/17/11;Employed;F;92600;Suburban;Single;94;9;48;0;1;Corporate Auto;Corporate L2;Offer3;Web;84243785;Two-Door Car;Small;;;
OS46571;California;6889557028;No;Basic;High School or Below;2011-04-02 00:00:00;Unemployed;M;0;Suburban;Single;66;2;75;0;2;Personal Auto;Personal L3;Offer1;Branch;475,2;Four-Door Car;Small;;;
PX17116;Nevada;3623454198;No;Basic;College;1/20/11;Unemployed;M;0;Suburban;Single;111;6;24;2;1;Corporate Auto;Corporate L2;Offer1;Agent;117193117;SUV;Medsize;;;
RP19541;Arizona;7582113842;Yes;Basic;College;2011-03-02 00:00:00;Employed;M;64801;Urban;Married;64;23;19;0;2;Personal Auto;Personal L3;Offer2;Web;268471802;Four-Door Car;Medsize;;;
ZR25747;Oregon;827774558;No;Premium;College;2011-06-02 00:00:00;Employed;F;45257;Suburban;Married;103;33;90;0;4;Corporate Auto;Corporate L1;Offer3;Call Center;494,4;Two-Door Car;Medsize;;;
NQ86532;California;2576455597;No;Basic;High School or Below;1/22/11;Medical Leave;M;26854;Suburban;Married;66;31;70;0;1;Personal Auto;Personal L3;Offer1;Agent;475,2;Four-Door Car;Small;;;
JY27336;Oregon;8205387936;No;Basic;College;2/22/11;Employed;F;85840;Rural;Married;102;14;79;2;4;Corporate Auto;Corporate L3;Offer2;Agent;138722385;SUV;Medsize;;;
PB54378;Oregon;1958246887;No;Basic;Doctor;1/29/11;Medical Leave;F;26463;Suburban;Married;72;28;93;0;2;Corporate Auto;Corporate L2;Offer1;Branch;345,6;Four-Door Car;Medsize;;;
SV38190;Nevada;6481526576;No;Extended;Bachelor;1/13/11;Employed;F;30689;Suburban;Married;81;23;51;0;5;Personal Auto;Personal L2;Offer4;Branch;46724802;Four-Door Car;Medsize;;;
CV24005;Oregon;2599310879;No;Basic;High School or Below;2/13/11;Employed;M;29590;Suburban;Married;66;17;18;0;1;Corporate Auto;Corporate L3;Offer2;Agent;467503236;Two-Door Car;Small;;;
EX28656;Oregon;9830337629;No;Premium;College;2011-10-02 00:00:00;Employed;F;25965;Suburban;Divorced;253;15;59;0;1;Personal Auto;Personal L1;Offer2;Agent;1214,4;Luxury SUV;Medsize;;;
CF57022;Oregon;1044265139;No;Extended;Bachelor;1/26/11;Medical Leave;M;17269;Suburban;Married;139;3;31;0;5;Personal Auto;Personal L1;Offer1;Branch;667,2;SUV;Small;;;
GM16780;Oregon;3605753702;No;Extended;College;2011-07-02 00:00:00;Employed;M;90330;Rural;Single;137;0;86;3;2;Corporate Auto;Corporate L3;Offer1;Call Center;192085299;Sports Car;Medsize;;;
BX94438;California;8470036773;No;Basic;High School or Below;2011-07-01 00:00:00;Unemployed;F;0;Suburban;Married;113;34;5;0;8;Corporate Auto;Corporate L2;Offer1;Call Center;619973889;SUV;Medsize;;;
RM41745;California;8278786492;No;Premium;High School or Below;1/18/11;Unemployed;F;0;Suburban;Married;110;20;66;0;7;Personal Auto;Personal L3;Offer1;Agent;1002782553;Four-Door Car;Medsize;;;
XR70252;California;4788932598;No;Basic;High School or Below;2/22/11;Unemployed;F;0;Suburban;Married;67;2;49;1;3;Personal Auto;Personal L2;Offer2;Web;321,6;Two-Door Car;Medsize;;;
YH92099;Arizona;3087999917;No;Extended;Bachelor;1/16/11;Disabled;F;18558;Suburban;Married;80;17;23;0;1;Special Auto;Special L1;Offer1;Agent;384;Four-Door Car;Medsize;;;
SG81493;Arizona;4443736209;No;Premium;Bachelor;2011-01-01 00:00:00;Employed;M;46384;Rural;Married;113;33;93;0;1;Corporate Auto;Corporate L1;Offer2;Web;251774574;Four-Door Car;Medsize;;;
ZX23819;Oregon;7984086473;No;Basic;High School or Below;2011-10-02 00:00:00;Unemployed;F;0;Suburban;Single;72;1;77;0;2;Personal Auto;Personal L3;Offer2;Call Center;866208321;Two-Door Car;Large;;;
FJ54907;Oregon;7180971028;No;Basic;College;2011-09-01 00:00:00;Employed;F;42303;Suburban;Married;180;24;66;0;1;Personal Auto;Personal L2;Offer2;Agent;1210920949;Luxury SUV;Medsize;;;
CU26127;California;1565603434;No;Extended;Bachelor;2011-02-02 00:00:00;Employed;F;71731;Urban;Single;130;12;50;0;2;Corporate Auto;Corporate L2;Offer1;Branch;599648466;SUV;Medsize;;;
YH60476;Oregon;5780182197;Yes;Basic;High School or Below;2/26/11;Employed;M;51066;Suburban;Single;74;23;0;0;8;Corporate Auto;Corporate L3;Offer2;Call Center;787993313;Four-Door Car;Medsize;;;
ZZ97035;California;2071494043;No;Extended;College;2011-01-02 00:00:00;Unemployed;M;0;Suburban;Single;203;20;66;0;2;Corporate Auto;Corporate L1;Offer1;Branch;2027724442;Luxury Car;Small;;;
GE82737;Nevada;5337352409;No;Extended;Bachelor;2/14/11;Unemployed;F;0;Suburban;Single;86;19;93;3;5;Personal Auto;Personal L3;Offer1;Agent;619,2;Four-Door Car;Small;;;
KY21873;Arizona;5050826183;No;Basic;College;2/25/11;Unemployed;M;0;Rural;Married;69;16;45;0;6;Personal Auto;Personal L1;Offer3;Agent;72852047;Two-Door Car;Medsize;;;
UA51318;Arizona;5116624022;No;Basic;High School or Below;2/17/11;Employed;F;26173;Suburban;Single;68;2;10;1;9;Corporate Auto;Corporate L1;Offer2;Web;449819671;Four-Door Car;Medsize;;;
BV55014;Oregon;7268736958;No;Basic;Bachelor;2011-08-02 00:00:00;Employed;M;24445;Suburban;Single;63;18;15;0;2;Personal Auto;Personal L3;Offer1;Agent;302,4;Two-Door Car;Medsize;;;
HX21307;Oregon;2616613903;Yes;Basic;College;2/25/11;Employed;M;72302;Suburban;Divorced;66;6;27;0;1;Personal Auto;Personal L3;Offer1;Agent;316,8;Two-Door Car;Medsize;;;
LQ68252;Oregon;3738436222;No;Basic;High School or Below;2011-11-02 00:00:00;Retired;M;27208;Suburban;Single;102;10;65;0;1;Personal Auto;Personal L2;Offer1;Web;489,6;SUV;Medsize;;;
CR92802;California;2725356404;Yes;Basic;Master;2011-03-01 00:00:00;Employed;F;36650;Rural;Married;69;2;70;1;1;Special Auto;Special L2;Offer2;Web;5660333;Four-Door Car;Large;;;
SL35268;Arizona;5453861203;No;Basic;College;2011-04-01 00:00:00;Employed;M;30855;Urban;Married;68;7;15;0;7;Corporate Auto;Corporate L3;Offer2;Web;259060862;Four-Door Car;Medsize;;;
RD62882;Arizona;6846150323;Yes;Extended;Bachelor;1/27/11;Unemployed;F;0;Suburban;Divorced;95;13;20;0;5;Personal Auto;Personal L3;Offer1;Call Center;456;Two-Door Car;Large;;;
JS42382;Oregon;6172914199;No;Extended;Master;1/27/11;Employed;M;99960;Suburban;Married;76;19;83;0;4;Corporate Auto;Corporate L3;Offer1;Agent;364,8;Four-Door Car;Small;;;
BT30554;Arizona;1034632454;No;Extended;Bachelor;2/13/11;Unemployed;F;0;Suburban;Single;98;1;15;0;2;Personal Auto;Personal L3;Offer1;Agent;470,4;Four-Door Car;Large;;;
VP57424;Nevada;6997008618;No;Extended;Bachelor;2011-08-01 00:00:00;Employed;F;55873;Urban;Married;88;30;19;0;6;Personal Auto;Personal L2;Offer2;Agent;299356083;Four-Door Car;Small;;;
VU19243;Arizona;4196257691;No;Premium;High School or Below;2/26/11;Medical Leave;F;18052;Suburban;Divorced;111;5;71;0;1;Personal Auto;Personal L1;Offer3;Web;6991679;Four-Door Car;Medsize;;;
TA82973;Oregon;7858109763;No;Basic;High School or Below;2011-01-02 00:00:00;Employed;F;28937;Rural;Divorced;104;28;23;2;6;Personal Auto;Personal L3;Offer1;Call Center;117959654;SUV;Medsize;;;
GK71720;Oregon;6064343994;No;Extended;High School or Below;1/16/11;Unemployed;F;0;Suburban;Single;86;34;80;0;5;Personal Auto;Personal L3;Offer1;Call Center;545240341;Four-Door Car;Medsize;;;
OQ61223;California;1749752201;Yes;Basic;College;2/28/11;Unemployed;M;0;Suburban;Divorced;73;9;94;0;2;Personal Auto;Personal L2;Offer1;Agent;350,4;Two-Door Car;Medsize;;;
LL62746;Oregon;8970647312;No;Basic;Doctor;2011-06-02 00:00:00;Medical Leave;M;12829;Urban;Married;118;33;1;0;9;Personal Auto;Personal L1;Offer2;Call Center;328231432;SUV;Medsize;;;
JQ56711;Oregon;5923117229;No;Basic;Master;2011-02-02 00:00:00;Employed;F;92163;Rural;Married;73;3;79;0;6;Personal Auto;Personal L3;Offer3;Web;66568642;Two-Door Car;Medsize;;;
AW77988;Oregon;3585059935;No;Basic;High School or Below;2011-06-01 00:00:00;Disabled;M;17588;Suburban;Single;192;24;92;0;2;Personal Auto;Personal L1;Offer1;Web;1382,4;Luxury Car;Medsize;;;
HF75891;Washington;4331460674;No;Basic;High School or Below;2011-11-02 00:00:00;Employed;F;82302;Suburban;Married;106;11;92;0;1;Personal Auto;Personal L2;Offer1;Branch;722178166;SUV;Medsize;;;
MY97912;Arizona;1330933517;No;Extended;College;1/13/11;Unemployed;M;0;Suburban;Divorced;127;19;40;0;2;Personal Auto;Personal L3;Offer1;Call Center;609,6;SUV;Medsize;;;
IB87349;California;452850489;No;Premium;High School or Below;2/25/11;Employed;M;70340;Suburban;Married;113;5;56;0;1;Special Auto;Special L2;Offer1;Agent;542,4;Four-Door Car;Small;;;
AW73065;Oregon;2791906514;No;Basic;High School or Below;2011-06-02 00:00:00;Unemployed;F;0;Suburban;Single;74;35;59;0;1;Personal Auto;Personal L1;Offer1;Agent;532,8;Four-Door Car;Small;;;
HI74419;Washington;809287696;Yes;Basic;College;2011-05-02 00:00:00;Employed;M;50825;Urban;Married;102;3;46;0;3;Personal Auto;Personal L2;Offer1;Agent;369614729;SUV;Medsize;;;
PX70175;Arizona;799600748;No;Extended;College;1/19/11;Employed;M;93459;Suburban;Married;99;9;85;0;5;Personal Auto;Personal L3;Offer2;Web;65541333;Four-Door Car;Medsize;;;
KF75098;Arizona;5129738992;No;Basic;Bachelor;1/25/11;Employed;M;86148;Suburban;Married;65;19;51;2;4;Personal Auto;Personal L3;Offer4;Agent;312;Four-Door Car;Small;;;
IS50283;California;5697175238;No;Basic;Bachelor;1/17/11;Employed;F;27048;Suburban;Married;72;5;85;0;4;Corporate Auto;Corporate L3;Offer3;Agent;345,6;Four-Door Car;Medsize;;;
MY64920;Oregon;9217130629;No;Basic;College;2/27/11;Employed;F;73259;Suburban;Married;115;7;31;0;4;Personal Auto;Personal L2;Offer4;Web;67334265;SUV;Medsize;;;
KN34250;Oregon;1020892761;Yes;Extended;College;2/14/11;Employed;F;35482;Suburban;Married;129;21;59;0;3;Corporate Auto;Corporate L2;Offer1;Branch;619,2;SUV;Medsize;;;
GN46207;Oregon;4170687348;Yes;Basic;Master;1/17/11;Employed;F;29462;Suburban;Single;107;28;23;1;1;Personal Auto;Personal L3;Offer2;Branch;513,6;SUV;Large;;;
KL57176;Oregon;4505405812;No;Basic;College;2/15/11;Employed;F;67801;Rural;Divorced;115;12;45;1;1;Personal Auto;Personal L3;Offer3;Web;23810491;SUV;Medsize;;;
MN94234;California;3107568648;No;Extended;High School or Below;1/19/11;Unemployed;M;0;Suburban;Married;94;34;59;4;1;Personal Auto;Personal L3;Offer1;Branch;451,2;Two-Door Car;Medsize;;;
JY90595;Arizona;5528664986;No;Basic;High School or Below;2011-07-02 00:00:00;Medical Leave;M;16042;Suburban;Married;73;33;58;0;9;Personal Auto;Personal L3;Offer1;Agent;350,4;Two-Door Car;Medsize;;;
